"""ID""","""??""","""??""","""ElementType""","""Quality""","""PosAttrLimit1""","""PosAttrLimit2""","""PosAttrLimit3""","""PosAttrLimit4""","""PosAttrLimit5""","""PosAttrLimit6""","""PosCondition1""","""PosCondition2""","""PosCondition3""","""PosCondition4""","""PosCondition5""","""PosCondition6""","""CoreAttr1""","""CoreAttr2""","""CoreAttr3""","""CoreAttr4""","""CoreAttr5"""
1500001,,,0,0,2,4,1,7,-1,-1,3,-1,-1,-1,-1,-1,,,,,
1500002,,,0,1,2,4,1,7,-1,-1,4,-1,-1,-1,-1,-1,,,,,
1500003,,,0,2,2,4,1,7,-1,-1,4,0,-1,-1,-1,-1,,,,,
1500004,,,0,3,2,4,1,7,-1,-1,0,1,2,-1,-1,-1,,,,,
1500005,,,0,4,2,4,1,7,-1,-1,0,1,2,3,-1,-1,,,,,
1500101,,,1,0,9,4,3,18,-1,-1,3,-1,-1,-1,-1,-1,,,,,
1500102,,,1,1,9,4,3,18,-1,-1,4,-1,-1,-1,-1,-1,,,,,
1500103,,,1,2,9,4,3,18,-1,-1,4,0,-1,-1,-1,-1,,,,,
1500104,,,1,3,9,4,3,18,-1,-1,0,1,2,-1,-1,-1,,,,,
1500105,,,1,4,9,4,3,18,-1,-1,0,1,2,3,-1,-1,,,,,
1500201,,,2,0,2,7,3,16,-1,-1,3,-1,-1,-1,-1,-1,,,,,
1500202,,,2,1,2,7,3,16,-1,-1,4,-1,-1,-1,-1,-1,,,,,
1500203,,,2,2,2,7,3,16,-1,-1,4,0,-1,-1,-1,-1,,,,,
1500204,,,2,3,2,7,3,16,-1,-1,0,1,2,-1,-1,-1,,,,,
1500205,,,2,4,2,7,3,16,-1,-1,0,1,2,3,-1,-1,,,,,
1500301,,,3,0,9,7,1,15,-1,-1,3,-1,-1,-1,-1,-1,,,,,
1500302,,,3,1,9,7,1,15,-1,-1,4,-1,-1,-1,-1,-1,,,,,
1500303,,,3,2,9,7,1,15,-1,-1,4,0,-1,-1,-1,-1,,,,,
1500304,,,3,3,9,7,1,15,-1,-1,0,1,2,-1,-1,-1,,,,,
1500305,,,3,4,9,7,1,15,-1,-1,0,1,2,3,-1,-1,,,,,
1500401,,,4,0,9,4,3,17,-1,-1,3,-1,-1,-1,-1,-1,,,,,
1500402,,,4,1,9,4,3,17,-1,-1,4,-1,-1,-1,-1,-1,,,,,
1500403,,,4,2,9,4,3,17,-1,-1,4,0,-1,-1,-1,-1,,,,,
1500404,,,4,3,9,4,3,17,-1,-1,0,1,2,-1,-1,-1,,,,,
1500405,,,4,4,9,4,3,17,-1,-1,0,1,2,3,-1,-1,,,,,
